Transaction_ID,Amount,VAT_Rate,Country,Item_Category,Applied_VAT
1,958.54,0.2,UK,Furniture,191.71
2,228.24,0.18,Germany,Clothing,41.08
3,887.32,0.18,Germany,Clothing,159.72
4,934.96,0.2,Germany,Clothing,186.99
5,917.26,0.05,UK,Furniture,45.86
6,639.06,0.12,USA,Furniture,76.69
7,633.52,0.12,Germany,Electronics,76.02
8,409.18,0.2,Germany,Furniture,81.84
9,754.87,0.2,Germany,Clothing,150.97
10,535.98,0.05,USA,Furniture,26.8
11,680.66,0.12,Germany,Food,81.68
12,434.17,0.05,USA,Books,21.71
13,734.18,0.12,USA,Electronics,85.42999999999999
14,826.23,0.2,France,Clothing,165.25
15,154.97,0.12,France,Clothing,18.6
16,834.6,0.12,Germany,Food,100.15
17,544.89,0.12,India,Electronics,65.39
18,846.22,0.05,France,Books,42.31
19,436.99,0.05,France,Electronics,21.85
20,385.25,0.12,India,Electronics,46.23
21,915.91,0.18,UK,Clothing,164.86
22,258.66,0.05,Germany,Furniture,12.93
23,845.77,0.2,UK,Books,169.15
24,489.18,0.2,UK,Electronics,97.84
25,518.95,0.12,USA,Food,62.27
26,315.38,0.2,USA,Clothing,61.75
27,577.31,0.05,Germany,Furniture,28.87
28,331.96,0.18,India,Furniture,59.75
29,48.88,0.18,USA,Clothing,8.8
30,279.28,0.18,France,Electronics,50.27
31,16.32,0.2,Germany,Clothing,3.26
32,978.57,0.12,UK,Furniture,117.43
33,966.09,0.2,Germany,Furniture,193.22
34,401.2,0.12,USA,Food,48.14
35,731.09,0.18,India,Food,131.6
36,352.35,0.05,UK,Furniture,17.62
37,674.38,0.2,India,Food,134.88
38,807.38,0.05,Germany,Food,40.37
39,947.29,0.18,India,Food,170.51
40,406.21,0.12,India,Furniture,48.75
41,785.47,0.05,Germany,Electronics,39.27
42,273.27,0.2,UK,Electronics,54.65
43,990.43,0.05,India,Books,49.52
44,35.51,0.05,India,Food,1.78
45,607.49,0.2,Germany,Electronics,121.5
46,662.91,0.12,France,Books,79.55
47,691.17,0.2,India,Clothing,138.23
48,129.18,0.18,USA,Food,23.25
49,939.14,0.12,UK,Electronics,112.7
50,189.37,0.05,India,Electronics,9.47
51,626.53,0.2,Germany,Electronics,125.31
52,230.45,0.18,USA,Books,41.48
53,314.14,0.2,Germany,Clothing,62.83
54,550.99,0.12,India,Food,66.12
55,423.02,0.18,USA,Electronics,80.97
56,168.62,0.05,UK,Furniture,8.43
57,179.23,0.12,UK,Food,21.51
58,423.96,0.18,UK,Furniture,76.31
59,759.71,0.12,France,Books,91.17
60,898.99,0.05,Germany,Electronics,44.95
61,93.29,0.18,India,Food,16.79
62,399.17,0.2,USA,Food,79.83
63,109.24,0.2,Germany,Electronics,21.85
64,26.43,0.05,India,Clothing,1.32
65,665.1,0.18,France,Books,119.72
66,606.42,0.05,India,Electronics,30.32
67,171.39,0.05,Germany,Food,8.57
68,241.47,0.12,India,Clothing,28.98
69,33.47,0.2,USA,Food,6.69
70,836.6,0.05,France,Furniture,41.83
71,974.94,0.12,USA,Food,116.99
72,144.1,0.05,France,Books,7.2
73,239.16,0.05,France,Electronics,11.96
74,869.73,0.05,India,Food,43.49
75,927.2,0.2,USA,Furniture,181.42
76,425.43,0.18,France,Furniture,76.58
77,60.12,0.2,France,Electronics,12.02
78,49.0,0.12,India,Furniture,5.88
79,578.21,0.18,Germany,Electronics,104.08
80,398.97,0.12,Germany,Books,47.88
81,38.37,0.05,UK,Electronics,1.92
82,587.42,0.18,UK,Clothing,105.74
83,21.19,0.12,France,Furniture,2.54
84,789.5,0.05,Germany,Furniture,39.48
85,313.37,0.12,France,Food,37.6
86,49.86,0.12,USA,Clothing,5.98
87,592.47,0.2,Germany,Food,118.64999999999999
88,403.71,0.05,Germany,Electronics,20.19
89,974.06,0.2,Germany,Books,194.81
90,548.76,0.18,UK,Furniture,98.78
91,282.49,0.05,India,Books,10.94
92,712.34,0.2,India,Electronics,142.47
93,278.78,0.2,UK,Electronics,55.76
94,905.2,0.18,UK,Clothing,162.94
95,380.97,0.12,UK,Food,43.449999999999996
96,554.37,0.12,India,Furniture,66.52
97,60.07,0.12,France,Furniture,7.21
98,431.86,0.18,UK,Books,77.73
99,834.04,0.2,France,Clothing,166.81
100,807.59,0.05,France,Electronics,40.38
101,232.08,0.18,USA,Clothing,41.77
102,233.82,0.12,India,Furniture,28.06
103,819.13,0.12,France,Food,98.3
104,931.09,0.05,India,Books,46.55
105,104.41,0.18,India,Electronics,18.79
106,455.56,0.12,USA,Electronics,54.67
107,344.08,0.18,India,Electronics,61.93
108,871.98,0.2,France,Food,174.4
109,92.69,0.18,Germany,Furniture,16.68
110,219.01,0.2,France,Furniture,39.26
111,754.94,0.05,France,Clothing,37.75
112,60.78,0.2,India,Clothing,12.16
113,497.61,0.2,France,Furniture,99.52
114,447.69,0.05,Germany,Electronics,22.38
115,341.06,0.12,India,Food,40.93
116,400.63,0.05,UK,Furniture,20.03
117,534.64,0.18,France,Food,96.24
118,169.75,0.05,France,Books,8.49
119,576.28,0.18,USA,Electronics,103.73
120,807.38,0.12,UK,Books,96.89
121,762.56,0.18,UK,Furniture,137.26
122,162.36,0.05,Germany,Clothing,8.12
123,157.76,0.05,UK,Furniture,7.89
124,275.49,0.12,USA,Books,33.06
125,367.46,0.05,Germany,Food,18.37
126,414.37,0.12,UK,Furniture,49.72
127,682.9,0.12,Germany,Clothing,81.95
128,66.11,0.05,UK,Books,3.31
129,44.33,0.2,UK,Furniture,8.87
130,397.99,0.18,UK,Books,71.64
131,700.19,0.2,France,Books,140.04
132,201.5,0.12,UK,Electronics,24.18
133,645.09,0.18,France,Food,116.12
134,267.23,0.2,India,Electronics,53.45
135,887.23,0.05,USA,Books,44.36
136,896.73,0.2,Germany,Clothing,179.35
137,304.31,0.18,Germany,Clothing,54.78
138,237.69,0.18,India,Electronics,42.78
139,417.19,0.18,UK,Clothing,75.09
140,248.13,0.18,USA,Books,44.66
141,675.66,0.2,India,Furniture,135.13
142,827.8,0.05,India,Books,41.39
143,676.36,0.05,Germany,Furniture,33.82
144,826.11,0.18,France,Clothing,148.7
145,403.02,0.05,France,Food,20.15
146,164.75,0.2,UK,Food,34.720000000000006
147,740.57,0.05,UK,Books,35.19
148,366.87,0.12,India,Books,44.02
149,674.56,0.05,UK,Clothing,37.55
150,277.94,0.18,France,Food,49.61
151,90.42,0.05,USA,Food,4.52
152,992.66,0.05,Germany,Books,49.63
153,164.64,0.05,France,Food,8.23
154,988.54,0.05,UK,Books,49.43
155,977.51,0.12,Germany,Electronics,117.3
156,795.88,0.2,Germany,Food,159.18
157,662.83,0.18,India,Furniture,119.31
158,582.03,0.18,UK,Clothing,104.77
159,867.44,0.05,India,Books,43.37
160,296.55,0.2,Germany,Food,61.99
161,473.0,0.05,India,Food,23.65
162,623.2,0.12,UK,Books,74.78
163,417.08,0.2,France,Furniture,83.42
164,433.21,0.2,USA,Food,86.64
165,336.98,0.2,France,Electronics,67.4
166,568.59,0.2,Germany,Clothing,113.72
167,852.07,0.05,France,Books,42.6
168,209.51,0.12,India,Food,25.14
169,935.09,0.2,UK,Clothing,187.02
170,692.2,0.18,France,Books,124.6
171,825.04,0.18,France,Books,148.51
172,560.63,0.12,UK,Books,67.28
173,781.72,0.18,India,Furniture,140.71
174,26.04,0.05,USA,Electronics,1.3
175,820.2,0.05,France,Books,41.01
176,49.74,0.12,Germany,Furniture,5.97
177,891.01,0.2,India,Books,178.2
178,992.04,0.18,India,Books,178.57
179,301.13,0.18,France,Furniture,54.2
180,218.22,0.12,UK,Electronics,26.19
181,767.71,0.12,France,Clothing,92.13
182,260.5,0.18,France,Food,46.89
183,866.91,0.2,UK,Books,173.38
184,111.81,0.12,Germany,Electronics,13.42
185,134.7,0.05,UK,Food,6.74
186,979.36,0.18,France,Books,176.28
187,677.1,0.12,USA,Food,81.25
188,848.42,0.12,UK,Furniture,101.81
189,331.09,0.12,Germany,Electronics,39.73
190,679.72,0.18,UK,Electronics,122.35
191,598.3,0.05,UK,Clothing,29.92
192,607.12,0.05,India,Clothing,30.36
193,685.71,0.18,India,Food,123.43
194,579.61,0.12,France,Furniture,69.55
195,434.77,0.18,France,Food,78.26
196,283.16,0.18,UK,Books,50.97
197,770.9,0.12,USA,Electronics,92.51
198,234.01,0.18,France,Food,42.12
199,695.43,0.2,UK,Food,139.09
200,241.0,0.05,UK,Electronics,12.05
201,629.08,0.2,UK,Electronics,125.82
202,749.61,0.2,UK,Clothing,149.92
203,226.53,0.2,UK,Clothing,45.31
204,69.34,0.18,India,Electronics,12.48
205,139.66,0.12,Germany,Food,16.76
206,609.94,0.18,Germany,Books,109.79
207,850.95,0.05,UK,Food,42.55
208,54.55,0.18,France,Books,9.82
209,736.81,0.18,USA,Electronics,132.63
210,347.91,0.18,UK,Books,62.62
211,483.74,0.18,USA,Clothing,87.07
212,929.57,0.2,India,Electronics,185.91
213,338.65,0.12,Germany,Furniture,42.54
214,470.68,0.05,India,Books,23.53
215,23.55,0.05,France,Books,1.18
216,90.78,0.05,France,Furniture,4.54
217,266.01,0.18,UK,Furniture,47.88
218,37.57,0.05,France,Electronics,1.88
219,635.06,0.2,France,Food,127.01
220,432.13,0.12,India,Furniture,51.86
221,552.66,0.18,USA,Books,99.48
222,182.9,0.18,Germany,Furniture,32.92
223,302.97,0.2,France,Electronics,60.59
224,667.19,0.05,France,Electronics,33.36
225,965.65,0.18,India,Books,173.09
226,59.91,0.18,Germany,Books,10.78
227,891.48,0.2,India,Books,178.3
228,581.11,0.2,USA,Food,116.22
229,568.28,0.05,India,Books,28.41
230,505.28,0.12,Germany,Electronics,60.63
231,78.7,0.12,Germany,Electronics,9.44
232,98.98,0.05,France,Furniture,4.95
233,604.9,0.12,USA,Books,72.59
234,347.55,0.2,UK,Food,69.51
235,918.1,0.2,France,Clothing,183.62
236,412.52,0.2,India,Furniture,82.5
237,151.85,0.12,India,Food,18.22
238,717.57,0.12,Germany,Books,86.11
239,300.42,0.18,Germany,Food,54.08
240,530.22,0.18,Germany,Clothing,95.44
241,700.85,0.18,UK,Food,121.84
242,901.26,0.12,UK,Clothing,108.15
243,794.27,0.18,France,Clothing,142.97
244,679.6,0.2,UK,Clothing,135.92
245,682.84,0.12,Germany,Food,81.94
246,946.47,0.05,France,Books,51.29
247,302.87,0.12,France,Electronics,36.34
248,11.1,0.18,USA,Electronics,2.0
249,279.24,0.12,UK,Food,33.51
250,225.71,0.18,India,Books,40.63
251,665.22,0.18,India,Electronics,119.74
